example_file,key,shape,dtype,is_feature_candidate
000001.npz,zcr_mean,61x1,float64,True
000001.npz,zcr_std,61x1,float64,False
000001.npz,zcr_min,61x1,float64,False
000001.npz,zcr_max,61x1,float64,False
000001.npz,start_time,61,float64,False
000001.npz,end_time,61,float64,False
000001.npz,melspect_mean,61x128,float32,True
000001.npz,melspect_std,61x128,float32,False
000001.npz,melspect_min,61x128,float32,False
000001.npz,melspect_max,61x128,float32,False
000001.npz,mfcc_mean,61x32,float32,True
000001.npz,mfcc_std,61x32,float32,False
000001.npz,mfcc_min,61x32,float32,False
000001.npz,mfcc_max,61x32,float32,False
000001.npz,mfcc_d_mean,61x32,float32,True
000001.npz,mfcc_d_std,61x32,float32,False
000001.npz,mfcc_d_min,61x32,float32,False
000001.npz,mfcc_d_max,61x32,float32,False
000001.npz,mfcc_d2_mean,61x32,float32,True
000001.npz,mfcc_d2_std,61x32,float32,False
000001.npz,mfcc_d2_min,61x32,float32,False
000001.npz,mfcc_d2_max,61x32,float32,False
000001.npz,flux_mean,61x1,float32,True
000001.npz,flux_std,61x1,float32,False
000001.npz,flux_min,61x1,float32,False
000001.npz,flux_max,61x1,float32,False
000001.npz,flatness_mean,61x1,float32,True
000001.npz,flatness_std,61x1,float32,False
000001.npz,flatness_min,61x1,float32,False
000001.npz,flatness_max,61x1,float32,False
000001.npz,centroid_mean,61x1,float64,True
000001.npz,centroid_std,61x1,float64,False
000001.npz,centroid_min,61x1,float64,False
000001.npz,centroid_max,61x1,float64,False
000001.npz,bandwidth_mean,61x1,float64,True
000001.npz,bandwidth_std,61x1,float64,False
000001.npz,bandwidth_min,61x1,float64,False
000001.npz,bandwidth_max,61x1,float64,False
000001.npz,contrast_mean,61x7,float64,True
000001.npz,contrast_std,61x7,float64,False
000001.npz,contrast_min,61x7,float64,False
000001.npz,contrast_max,61x7,float64,False
000001.npz,rolloff_low_mean,61x1,float64,True
000001.npz,rolloff_low_std,61x1,float64,False
000001.npz,rolloff_low_min,61x1,float64,False
000001.npz,rolloff_low_max,61x1,float64,False
000001.npz,rolloff_high_mean,61x1,float64,True
000001.npz,rolloff_high_std,61x1,float64,False
000001.npz,rolloff_high_min,61x1,float64,False
000001.npz,rolloff_high_max,61x1,float64,False
000001.npz,energy_mean,61x1,float32,True
000001.npz,energy_std,61x1,float32,False
000001.npz,energy_min,61x1,float32,False
000001.npz,energy_max,61x1,float32,False
000001.npz,power_mean,61x1,float32,True
000001.npz,power_std,61x1,float32,False
000001.npz,power_min,61x1,float32,False
000001.npz,power_max,61x1,float32,False
000001.npz,annotations,61x15x2,float32,False
000001.npz,is_own_recording,2,bool,False
000001.npz,class_names,15,object,False
000001.npz,annotator_ids,2,object,False
000001.npz,target_classes,2,<U15,False
000001.npz,non_target_classes,3,<U16,False
000001.npz,recording_device,,<U17,False
000001.npz,recording_environments,1,<U6,False
000001.npz,scene_description,,<U130,False
000001.npz,device_placement,,<U6,False
