model,split,class_name,precision,recall,f1,support
all_negative,validation,bell_ringing,0.0,0.0,0.0,513
all_negative,validation,coffee_machine,0.0,0.0,0.0,1040
all_negative,validation,cutlery_dishes,0.0,0.0,0.0,2568
all_negative,validation,door_open_close,0.0,0.0,0.0,1971
all_negative,validation,footsteps,0.0,0.0,0.0,5268
all_negative,validation,keyboard_typing,0.0,0.0,0.0,2781
all_negative,validation,keychain,0.0,0.0,0.0,1844
all_negative,validation,light_switch,0.0,0.0,0.0,492
all_negative,validation,microwave,0.0,0.0,0.0,1985
all_negative,validation,phone_ringing,0.0,0.0,0.0,2093
all_negative,validation,running_water,0.0,0.0,0.0,3933
all_negative,validation,toilet_flushing,0.0,0.0,0.0,978
all_negative,validation,vacuum_cleaner,0.0,0.0,0.0,1723
all_negative,validation,wardrobe_drawer_open_close,0.0,0.0,0.0,1040
all_negative,validation,window_open_close,0.0,0.0,0.0,640
all_negative,test,bell_ringing,0.0,0.0,0.0,502
all_negative,test,coffee_machine,0.0,0.0,0.0,1137
all_negative,test,cutlery_dishes,0.0,0.0,0.0,2258
all_negative,test,door_open_close,0.0,0.0,0.0,1831
all_negative,test,footsteps,0.0,0.0,0.0,4222
all_negative,test,keyboard_typing,0.0,0.0,0.0,2861
all_negative,test,keychain,0.0,0.0,0.0,1720
all_negative,test,light_switch,0.0,0.0,0.0,564
all_negative,test,microwave,0.0,0.0,0.0,2053
all_negative,test,phone_ringing,0.0,0.0,0.0,1987
all_negative,test,running_water,0.0,0.0,0.0,3253
all_negative,test,toilet_flushing,0.0,0.0,0.0,1045
all_negative,test,vacuum_cleaner,0.0,0.0,0.0,1878
all_negative,test,wardrobe_drawer_open_close,0.0,0.0,0.0,1103
all_negative,test,window_open_close,0.0,0.0,0.0,767
empirical_frequency,validation,bell_ringing,0.018947368421052633,0.017543859649122806,0.018218623481781375,513
empirical_frequency,validation,coffee_machine,0.04800724637681159,0.05096153846153846,0.049440298507462684,1040
empirical_frequency,validation,cutlery_dishes,0.1030277544154752,0.09540498442367601,0.09906995551961181,2568
empirical_frequency,validation,door_open_close,0.0762061403508772,0.07052257737189244,0.07325428194993412,1971
empirical_frequency,validation,footsteps,0.206766127337676,0.1867881548974943,0.1962700708088162,5268
empirical_frequency,validation,keyboard_typing,0.1109535625664658,0.11254944264653002,0.111745805069618,2781
empirical_frequency,validation,keychain,0.07437070938215103,0.07049891540130152,0.07238307349665925,1844
empirical_frequency,validation,light_switch,0.01289134438305709,0.014227642276422764,0.01352657004830918,492
empirical_frequency,validation,microwave,0.08295142071494042,0.09118387909319899,0.08687305015598752,1985
empirical_frequency,validation,phone_ringing,0.08036490008688098,0.08838987099856666,0.08418657565415244,2093
empirical_frequency,validation,running_water,0.14813815434430652,0.13958810068649885,0.143736091111402,3933
empirical_frequency,validation,toilet_flushing,0.03052064631956912,0.034764826175869123,0.032504780114722756,978
empirical_frequency,validation,vacuum_cleaner,0.06971677559912855,0.0742890307603018,0.07193031750491712,1723
empirical_frequency,validation,wardrobe_drawer_open_close,0.046875,0.046153846153846156,0.046511627906976744,1040
empirical_frequency,validation,window_open_close,0.01929260450160772,0.01875,0.01901743264659271,640
empirical_frequency,test,bell_ringing,0.030947775628626693,0.03187250996015936,0.03140333660451423,502
empirical_frequency,test,coffee_machine,0.04661791590493602,0.044854881266490766,0.04571940833706858,1137
empirical_frequency,test,cutlery_dishes,0.08592088472990217,0.08945969884853854,0.08765458884790626,2258
empirical_frequency,test,door_open_close,0.07569939659901262,0.07536865101037685,0.0755336617405583,1831
empirical_frequency,test,footsteps,0.16556007710430498,0.18308858360966368,0.1738837026206276,4222
empirical_frequency,test,keyboard_typing,0.1153442852149598,0.1153442852149598,0.1153442852149598,2861
empirical_frequency,test,keychain,0.06655574043261231,0.06976744186046512,0.06812375816065853,1720
empirical_frequency,test,light_switch,0.020072992700729927,0.01950354609929078,0.019784172661870502,564
empirical_frequency,test,microwave,0.07767441860465116,0.08134437408670239,0.079467047347133,2053
empirical_frequency,test,phone_ringing,0.07514177693761814,0.08002013085052843,0.07750426517182549,1987
empirical_frequency,test,running_water,0.12255820176612256,0.14079311404857056,0.13104434907010015,3253
empirical_frequency,test,toilet_flushing,0.056925996204933584,0.05741626794258373,0.05717008099094807,1045
empirical_frequency,test,vacuum_cleaner,0.06592797783933518,0.06336528221512247,0.06462123269074124,1878
empirical_frequency,test,wardrobe_drawer_open_close,0.03340080971659919,0.029918404351767906,0.03156384505021521,1103
empirical_frequency,test,window_open_close,0.013245033112582781,0.010430247718383311,0.011670313639679067,767
linear_ridge,validation,bell_ringing,0.14769975786924938,0.594541910331384,0.2366175329712956,513
linear_ridge,validation,coffee_machine,0.12107059457517513,0.6480769230769231,0.204026032995308,1040
linear_ridge,validation,cutlery_dishes,0.22425179148517635,0.6214953271028038,0.32958182756840476,2568
linear_ridge,validation,door_open_close,0.1314567901234568,0.6752917300862507,0.22007275132275134,1971
linear_ridge,validation,footsteps,0.32773175542406313,0.7885345482156416,0.46302179122777687,5268
linear_ridge,validation,keyboard_typing,0.21831202046035805,0.7673498741459907,0.3399171710735903,2781
linear_ridge,validation,keychain,0.16976929196499602,0.5786334056399133,0.2625169147496617,1844
linear_ridge,validation,light_switch,0.03618891842159068,0.7195121951219512,0.0689118162351567,492
linear_ridge,validation,microwave,0.30775510204081635,0.7596977329974811,0.43805374001452435,1985
linear_ridge,validation,phone_ringing,0.45984922976073417,0.6703296703296703,0.5454898911353032,2093
linear_ridge,validation,running_water,0.4964871194379391,0.7546402237477753,0.5989304812834224,3933
linear_ridge,validation,toilet_flushing,0.14390009606147935,0.7658486707566462,0.24227721170952612,978
linear_ridge,validation,vacuum_cleaner,0.36232604373757454,0.8461984910040626,0.5073951626935792,1723
linear_ridge,validation,wardrobe_drawer_open_close,0.06495643756050339,0.6451923076923077,0.11802990325417766,1040
linear_ridge,validation,window_open_close,0.0524987380111055,0.8125,0.09862494073020389,640
