filename,collector_id,split,n_segments,positive_labels
000001.wav,76646d67ad918592,train,61,80
000002.wav,76646d67ad918592,train,59,59
000003.wav,76646d67ad918592,train,66,2
000004.wav,76646d67ad918592,train,50,57
000005.wav,76646d67ad918592,train,63,8
000006.wav,76646d67ad918592,train,72,19
000007.wav,76646d67ad918592,train,59,43
000008.wav,76646d67ad918592,train,61,31
000009.wav,76646d67ad918592,train,77,15
000010.wav,277b1118a6946325,train,64,58
000011.wav,277b1118a6946325,train,47,38
000012.wav,277b1118a6946325,train,37,27
000013.wav,277b1118a6946325,train,41,52
000014.wav,277b1118a6946325,train,36,23
000015.wav,277b1118a6946325,train,54,59
000016.wav,277b1118a6946325,train,41,14
000017.wav,277b1118a6946325,train,58,66
000018.wav,277b1118a6946325,train,38,58
000019.wav,277b1118a6946325,train,38,55
000047.wav,a38734c69fcc886d,train,41,44
000048.wav,a38734c69fcc886d,train,31,27
000049.wav,a38734c69fcc886d,train,54,45
000050.wav,a38734c69fcc886d,train,58,79
000051.wav,a38734c69fcc886d,train,41,52
000052.wav,a38734c69fcc886d,train,61,49
000053.wav,a38734c69fcc886d,train,38,56
000054.wav,a38734c69fcc886d,train,32,40
000055.wav,a38734c69fcc886d,train,48,57
000056.wav,a38734c69fcc886d,train,40,61
000057.wav,64bd092a36b30fac,train,50,40
000058.wav,64bd092a36b30fac,train,36,35
000059.wav,64bd092a36b30fac,train,40,52
000060.wav,64bd092a36b30fac,train,47,47
000061.wav,64bd092a36b30fac,train,34,32
000062.wav,64bd092a36b30fac,train,48,50
000063.wav,64bd092a36b30fac,train,34,39
000064.wav,64bd092a36b30fac,train,32,23
000065.wav,64bd092a36b30fac,train,35,90
000066.wav,64bd092a36b30fac,train,36,43
000075.wav,abd5e9da61970247,train,54,9
000076.wav,abd5e9da61970247,train,50,46
000077.wav,abd5e9da61970247,train,49,54
000078.wav,abd5e9da61970247,train,49,29
000079.wav,abd5e9da61970247,train,41,33
000080.wav,abd5e9da61970247,train,36,39
000081.wav,abd5e9da61970247,train,60,53
000082.wav,abd5e9da61970247,train,39,18
000101.wav,38aeb6f4b796ffdc,train,42,83
000102.wav,38aeb6f4b796ffdc,train,40,40
000103.wav,38aeb6f4b796ffdc,train,44,42
000104.wav,38aeb6f4b796ffdc,train,42,70
000105.wav,38aeb6f4b796ffdc,train,41,38
000106.wav,38aeb6f4b796ffdc,train,40,43
000107.wav,38aeb6f4b796ffdc,train,41,75
000108.wav,38aeb6f4b796ffdc,train,46,71
000109.wav,699ed75784723085,train,36,36
000110.wav,699ed75784723085,train,58,40
000111.wav,699ed75784723085,train,33,38
000112.wav,699ed75784723085,train,42,20
000113.wav,699ed75784723085,train,40,71
000114.wav,699ed75784723085,train,32,38
000115.wav,699ed75784723085,train,31,62
000116.wav,699ed75784723085,train,31,51
000117.wav,8e6a9b95bab80454,train,43,57
000118.wav,8e6a9b95bab80454,train,34,55
000119.wav,8e6a9b95bab80454,train,34,35
000120.wav,8e6a9b95bab80454,train,41,36
000121.wav,8e6a9b95bab80454,train,41,13
000122.wav,8e6a9b95bab80454,train,51,91
000123.wav,8e6a9b95bab80454,train,44,42
000124.wav,8e6a9b95bab80454,train,40,73
000125.wav,635ebc7bc40c42ef,validation,33,34
000126.wav,635ebc7bc40c42ef,validation,32,43
000127.wav,635ebc7bc40c42ef,validation,33,48
000128.wav,635ebc7bc40c42ef,validation,30,57
000129.wav,635ebc7bc40c42ef,validation,37,39
000130.wav,635ebc7bc40c42ef,validation,47,46
000131.wav,635ebc7bc40c42ef,validation,47,46
000132.wav,635ebc7bc40c42ef,validation,43,31
000142.wav,dca20a98a1bc6608,train,34,24
000143.wav,dca20a98a1bc6608,train,36,40
000144.wav,dca20a98a1bc6608,train,31,30
000145.wav,dca20a98a1bc6608,train,36,38
000146.wav,dca20a98a1bc6608,train,31,22
000147.wav,dca20a98a1bc6608,train,35,34
000148.wav,dca20a98a1bc6608,train,36,61
000149.wav,dca20a98a1bc6608,train,41,39
000150.wav,dca20a98a1bc6608,train,33,99
000151.wav,dca20a98a1bc6608,train,32,71
000152.wav,e68019ecb1ef94ec,train,68,108
000153.wav,e68019ecb1ef94ec,train,39,41
000154.wav,e68019ecb1ef94ec,train,40,65
000155.wav,e68019ecb1ef94ec,train,67,40
000156.wav,e68019ecb1ef94ec,train,70,72
000157.wav,e68019ecb1ef94ec,train,50,76
000158.wav,e68019ecb1ef94ec,train,67,20
