annotation,precision,recall,f1,map
bell_ringing,0.2980392156862745,0.3377777777777778,0.31666666666666665,
coffee_machine,0.4516728624535316,0.33986013986013985,0.38786911412609737,
cutlery_dishes,0.4319029850746269,0.4868559411146162,0.45773603559070686,
door_open_close,0.34566326530612246,0.285563751317176,0.3127524523946913,
footsteps,0.5242528172464478,0.4658249891162386,0.49331489165514064,
keyboard_typing,0.5989385898407885,0.6340288924558587,0.6159844054580896,
keychain,0.5194109772423026,0.4522144522144522,0.4834890965732087,
light_switch,0.4,0.4555984555984556,0.4259927797833935,
microwave,0.5703380588876772,0.5909604519774011,0.5804661487236404,
phone_ringing,0.5972660357518401,0.5629335976214074,0.5795918367346938,
running_water,0.6961093585699264,0.6525381961557417,0.6736199440345968,
toilet_flushing,0.36795774647887325,0.40192307692307694,0.38419117647058826,
vacuum_cleaner,0.5169927909371782,0.5830429732868757,0.5480349344978166,
wardrobe_drawer_open_close,0.1883656509695291,0.13765182186234817,0.15906432748538013,
window_open_close,0.1044776119402985,0.14634146341463414,0.12191582002902758,
