model,params,threshold,dev_macro_f1,dev_macro_f1_all15
logistic,"C=1.0,class_weight=None",0.3,0.4316,0.4316
logistic,"C=1.0,class_weight=None",0.2,0.431189,0.431189
logistic,"C=1.0,class_weight=None",0.4,0.422327,0.422327
ridge,alpha=10.0,0.5,0.409781,0.409781
logistic,"C=1.0,class_weight=None",0.5,0.409049,0.409049
ridge,alpha=0.5,0.5,0.404776,0.404776
ridge,alpha=1.0,0.5,0.401684,0.401684
logistic,"C=1.0,class_weight=balanced",0.5,0.39552,0.39552
ridge,alpha=5.0,0.5,0.393623,0.393623
random_forest,"n_estimators=100,max_depth=None",0.3,0.391389,0.391389
ridge,alpha=0.1,0.5,0.390953,0.390953
random_forest,"n_estimators=100,max_depth=20",0.3,0.38512,0.38512
logistic,"C=1.0,class_weight=balanced",0.4,0.382397,0.382397
ridge,alpha=2.0,0.5,0.372859,0.372859
logistic,"C=1.0,class_weight=balanced",0.3,0.367078,0.367078
logistic,"C=1.0,class_weight=balanced",0.2,0.347124,0.347124
ridge,alpha=2.0,0.75,0.208266,0.208266
random_forest,"n_estimators=100,max_depth=20",0.5,0.207284,0.207284
random_forest,"n_estimators=100,max_depth=None",0.5,0.205925,0.205925
ridge,alpha=0.1,0.75,0.198122,0.198122
ridge,alpha=5.0,0.75,0.194406,0.194406
ridge,alpha=1.0,0.75,0.192446,0.192446
ridge,alpha=0.5,0.75,0.188965,0.188965
ridge,alpha=10.0,0.75,0.188637,0.188637
ridge,alpha=0.1,0.25,0.148957,0.148957
ridge,alpha=5.0,0.25,0.148576,0.148576
ridge,alpha=2.0,0.25,0.148184,0.148184
ridge,alpha=0.5,0.25,0.147708,0.147708
ridge,alpha=1.0,0.25,0.147582,0.147582
ridge,alpha=10.0,0.25,0.147013,0.147013
ridge,alpha=0.5,0.0,0.133974,0.133974
ridge,alpha=2.0,0.0,0.133974,0.133974
ridge,alpha=1.0,0.0,0.133974,0.133974
ridge,alpha=10.0,0.0,0.133974,0.133974
ridge,alpha=5.0,0.0,0.133974,0.133974
ridge,alpha=0.1,0.0,0.133974,0.133974
