wav,support,TP,FP,FN,f1,recall,n_ws
003224.wav,31,31,1,0,0.9841269841269841,1.0,21
001835.wav,42,39,1,3,0.9512195121951219,0.9285714285714286,26
000975.wav,19,18,1,1,0.9473684210526315,0.9473684210526315,18
003285.wav,10,9,0,1,0.9473684210526315,0.9,14
002894.wav,38,34,0,4,0.9444444444444444,0.8947368421052632,29
000497.wav,24,23,2,1,0.9387755102040817,0.9583333333333334,22
000222.wav,17,15,0,2,0.9375,0.8823529411764706,17
002683.wav,19,18,2,1,0.9230769230769231,0.9473684210526315,21
004479.wav,34,30,1,4,0.9230769230769231,0.8823529411764706,21
001559.wav,32,29,2,3,0.9206349206349206,0.90625,22
000093.wav,30,27,2,3,0.9152542372881356,0.9,20
000217.wav,17,16,2,1,0.9142857142857143,0.9411764705882353,18
005299.wav,45,41,4,4,0.9111111111111111,0.9111111111111111,23
001087.wav,26,24,3,2,0.9056603773584906,0.9230769230769231,27
002481.wav,16,14,1,2,0.9032258064516129,0.875,15
003094.wav,33,27,0,6,0.9,0.8181818181818182,19
002411.wav,20,18,2,2,0.9,0.9,19
001242.wav,32,27,1,5,0.9,0.84375,17
004217.wav,27,22,0,5,0.8979591836734694,0.8148148148148148,23
003969.wav,27,26,5,1,0.896551724137931,0.9629629629629629,27
003827.wav,17,17,4,0,0.8947368421052632,1.0,21
000088.wav,27,25,4,2,0.8928571428571429,0.9259259259259259,26
000162.wav,31,25,0,6,0.8928571428571429,0.8064516129032258,20
003439.wav,20,20,5,0,0.8888888888888888,1.0,20
001501.wav,17,16,3,1,0.8888888888888888,0.9411764705882353,17
000686.wav,17,16,3,1,0.8888888888888888,0.9411764705882353,18
002304.wav,30,27,4,3,0.8852459016393442,0.9,22
003231.wav,40,38,8,2,0.8837209302325582,0.95,21
001561.wav,15,15,4,0,0.8823529411764706,1.0,17
000347.wav,12,11,2,1,0.88,0.9166666666666666,16
002417.wav,14,11,0,3,0.88,0.7857142857142857,21
001563.wav,16,14,2,2,0.875,0.875,20
004210.wav,37,30,2,7,0.8695652173913043,0.8108108108108109,34
005716.wav,36,29,2,7,0.8656716417910447,0.8055555555555556,26
005388.wav,28,22,1,6,0.8627450980392157,0.7857142857142857,18
005021.wav,43,37,6,6,0.8604651162790697,0.8604651162790697,26
005385.wav,18,18,6,0,0.8571428571428571,1.0,18
000193.wav,25,24,7,1,0.8571428571428571,0.96,25
004487.wav,39,29,0,10,0.8529411764705882,0.7435897435897436,19
001750.wav,21,17,2,4,0.85,0.8095238095238095,27
003435.wav,19,14,0,5,0.8484848484848485,0.7368421052631579,25
003434.wav,33,25,1,8,0.847457627118644,0.7575757575757576,20
001843.wav,59,43,0,16,0.8431372549019608,0.7288135593220338,24
004394.wav,18,13,0,5,0.8387096774193549,0.7222222222222222,18
003230.wav,31,23,1,8,0.8363636363636363,0.7419354838709677,29
005506.wav,41,29,0,12,0.8285714285714286,0.7073170731707317,23
